temp_1,temp_2,temp_3,temp_4,temp_5,action_1,action_2,action_3,action_4,action_5,phase,reward,timestep
210.82653373239395,187.74166416053941,206.06614228095816,213.5481485891952,254.1167117245482,0,0,1,0,1,warmup,,156
209.81059052519703,186.6660756513852,207.3607597608489,212.46885105276377,255.1165397319856,0,0,1,0,1,warmup,,157
208.70276166426987,185.5915097808474,208.62527427993635,211.2801248354639,256.1154525817663,0,0,1,0,1,warmup,,158
207.60089132505,184.57347576668485,209.9664786037092,210.09292066747835,257.1134266316239,0,0,1,0,1,warmup,,159
206.58657301290464,183.40091494767373,211.16666827931078,208.90725348112318,258.0595620692724,0,0,1,0,1,warmup,,160
205.73145963902635,182.31678342611232,212.41507993667707,207.7230814520569,259.1473305775861,0,0,1,0,1,warmup,,161
204.97115215864608,181.2019007673909,213.66191433615805,206.60152961908753,260.1125629935055,3,0,1,0,1,warmup,,162
204.40012045847038,180.31681375901022,214.90717945497568,205.31038823590768,261.1298066152115,0,0,1,0,1,warmup,,163
203.98324238508832,179.5068690510633,216.1508884503697,204.11693335695549,262.12988076123844,3,3,1,0,1,warmup,,164
203.6105259291747,178.95510216953272,217.39307699507336,202.89001644779367,262.93945187358923,0,0,1,0,2,warmup,,165
203.15193553827947,178.46814003517048,218.63379252446802,201.90486209699205,263.3850387395014,2,3,1,0,1,warmup,,166
202.51204135185986,178.12714667904604,219.8730966760015,201.0342420220088,263.36184197962933,0,0,1,3,0,warmup,,167
201.68476294718766,177.68645507251756,221.11104281732,200.4411799259538,262.86709196803685,0,3,1,0,0,warmup,,168
